n,filename,size,source_doi,description
16,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2015_mood_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
17,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2016_mood_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
18,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2017_mood_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
19,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2018_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
20,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2019_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
21,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2020_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
22,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2021_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
23,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv_globalcropland_bowen.et.al_p_1km_s0..0cm_2022_mood_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
24,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2000_mood_v0.1.tif,6.2 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
25,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2001_mood_v0.1.tif,6.3 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
26,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2002_mood_v0.1.tif,6.3 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
27,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2003_mood_v0.1.tif,6.4 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
28,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2004_mood_v0.1.tif,6.4 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
29,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2005_mood_v0.1.tif,6.4 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
30,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2006_mood_v0.1.tif,6.4 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
31,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2007_mood_v0.1.tif,6.4 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
32,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2008_mood_v0.1.tif,6.5 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
33,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2009_mood_v0.1.tif,6.5 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
34,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2010_mood_v0.1.tif,6.6 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
35,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2011_mood_v0.1.tif,6.6 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
36,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2012_mood_v0.1.tif,6.6 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
37,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2013_mood_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
38,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2014_mood_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
39,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2015_mood_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
40,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2016_mood_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
41,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2017_mood_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
42,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2018_mood_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
43,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2019_mood_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
44,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2020_mood_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
45,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2021_mood_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
46,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv_cum.forest_hilda_m_1km_s0..0cm_2022_mood_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
47,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2000_mood_v1.0.tif,14.2 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
48,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2001_mood_v1.0.tif,14.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
49,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2002_mood_v1.0.tif,14.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
50,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2003_mood_v1.0.tif,14.2 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
51,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2004_mood_v1.0.tif,14.3 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
52,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2005_mood_v1.0.tif,14.2 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
53,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2006_mood_v1.0.tif,14.2 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
54,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2007_mood_v1.0.tif,14.3 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
55,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2008_mood_v1.0.tif,14.2 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
56,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2009_mood_v1.0.tif,14.3 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
57,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2010_mood_v1.0.tif,14.3 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
58,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2011_mood_v1.0.tif,14.3 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
59,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2012_mood_v1.0.tif,14.4 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
60,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2013_mood_v1.0.tif,14.4 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
61,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2014_mood_v1.0.tif,14.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
62,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2015_mood_v1.0.tif,14.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
63,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2016_mood_v1.0.tif,14.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
64,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2017_mood_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
65,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2018_mood_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
66,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2019_mood_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
67,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2020_mood_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
68,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2021_mood_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
69,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv_human.footprint_hpressure.50_m_1km_2022_mood_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
70,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2000_mood_v1.2.tif,47 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
71,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2001_mood_v1.2.tif,47.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
72,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2002_mood_v1.2.tif,47.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
73,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2003_mood_v1.2.tif,47.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
74,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2004_mood_v1.2.tif,47.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
75,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2005_mood_v1.2.tif,47.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
76,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2006_mood_v1.2.tif,47.2 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
77,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2007_mood_v1.2.tif,46.9 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
78,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2008_mood_v1.2.tif,46.7 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
79,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2009_mood_v1.2.tif,47.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
80,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2010_mood_v1.2.tif,47 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
81,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2011_mood_v1.2.tif,47.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
82,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2012_mood_v1.2.tif,47.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
83,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2013_mood_v1.2.tif,47 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
84,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2014_mood_v1.2.tif,47.4 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
85,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2015_mood_v1.2.tif,47.3 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
86,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2016_mood_v1.2.tif,47.4 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
87,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2017_mood_v1.2.tif,46.9 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
88,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2018_mood_v1.2.tif,47 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
89,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2019_mood_v1.2.tif,47.1 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
90,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2020_mood_v1.2.tif,46.9 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
91,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_p50_1km_s0..0cm_2021_mood_v1.2.tif,47 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime P50 quantile
92,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2000_mood_v1.2.tif,38.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
93,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2001_mood_v1.2.tif,38.7 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
94,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2002_mood_v1.2.tif,39 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
95,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2003_mood_v1.2.tif,38.9 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
96,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2004_mood_v1.2.tif,38.4 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
97,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2005_mood_v1.2.tif,38.4 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
98,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2006_mood_v1.2.tif,38.8 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
99,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2007_mood_v1.2.tif,38.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
100,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2008_mood_v1.2.tif,38.7 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
101,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2009_mood_v1.2.tif,38.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
102,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2010_mood_v1.2.tif,38.9 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
103,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2011_mood_v1.2.tif,38.4 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
104,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2012_mood_v1.2.tif,38.8 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
105,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2013_mood_v1.2.tif,38.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
106,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2014_mood_v1.2.tif,38.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
107,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2015_mood_v1.2.tif,38.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
108,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2016_mood_v1.2.tif,38.8 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
109,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2017_mood_v1.2.tif,38.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
110,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2018_mood_v1.2.tif,38.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
111,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2019_mood_v1.2.tif,38.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
112,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2020_mood_v1.2.tif,38.2 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
113,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2021_mood_v1.2.tif,38.8 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
114,https://s3.eu-central-1.wasabisys.com/mood/LST/clm_lst_mod11a2.nighttime_sd_1km_s0..0cm_2022_mood_v1.2.tif,38.8 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual MOD11A2 Land Surface Temperature nighttime standard deviation
115,https://s3.eu-central-1.wasabisys.com/mood/N02/veg_ndvi_avhrr.md13a3.harm_max_1km_s0..0cm_2000.02.01..2000.02.28_mood_v1.0.tif,54.6 Mb,https://doi.org/10.5281/zenodo.4305974,NDVI for February maximum value (P90)
